invoice_id,order_id,customer_id,invoice_number,invoice_date,due_date,paid_date,amount_due,tax_amount,discount_amount,late_fee_charged,amount_paid,payment_status,payment_method,credit_terms,billing_currency,fiscal_year,fiscal_period,internal_gl_code,billing_address_id,is_disputed
INV-0983501-2248,ORD-0983501-C568,CUST-224575-BDB2,INV-2026-983501,2025-04-14 01:26:51,2025-05-14 01:26:51,,1069.26,85.54,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,04,GL-REV-983501,ADDR-983501,FALSE
INV-0983502-5B3A,ORD-0983502-9C0A,CUST-417686-59B4,INV-2026-983502,2024-07-13 23:10:51,2024-08-12 23:10:51,2024-07-23 23:10:51,765.93,61.27,0.00,0.00,827.2,Paid,ACH,Net 30,USD,2024,07,GL-REV-983502,ADDR-983502,FALSE
INV-0983503-6D9F,ORD-0983503-051D,CUST-398360-AF05,INV-2026-983503,2024-11-24 15:16:12,2024-12-24 15:16:12,,1026.67,82.13,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,11,GL-REV-983503,ADDR-983503,FALSE
INV-0983504-F5EF,ORD-0983504-1097,CUST-236547-664A,INV-2026-983504,2025-03-23 14:40:21,2025-04-22 14:40:21,,418.48,33.48,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,03,GL-REV-983504,ADDR-983504,FALSE
INV-0983505-FA89,ORD-0983505-864B,CUST-161448-C5A5,INV-2026-983505,2026-05-23 00:35:01,2026-06-22 00:35:01,,1270.43,101.63,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,05,GL-REV-983505,ADDR-983505,FALSE
INV-0983506-55DE,ORD-0983506-4530,CUST-442314-F592,INV-2026-983506,2025-07-14 10:35:31,2025-08-13 10:35:31,2025-07-24 10:35:31,978.83,78.31,0.00,0.00,1057.14,Paid,ACH,Net 30,USD,2025,07,GL-REV-983506,ADDR-983506,FALSE
INV-0983507-A50A,ORD-0983507-7D57,CUST-201719-8F77,INV-2026-983507,2024-09-30 16:54:53,2024-10-30 16:54:53,,610.84,48.87,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983507,ADDR-983507,FALSE
INV-0983508-3F9A,ORD-0983508-8308,CUST-173982-E890,INV-2026-983508,2024-09-22 18:05:49,2024-10-22 18:05:49,,540.97,43.28,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983508,ADDR-983508,FALSE
INV-0983509-6A89,ORD-0983509-9B2E,CUST-036499-6474,INV-2026-983509,2025-02-16 13:52:47,2025-03-18 13:52:47,2025-02-26 13:52:47,599.63,47.97,0.00,0.00,647.6,Paid,ACH,Net 30,USD,2025,02,GL-REV-983509,ADDR-983509,FALSE
INV-0983510-2DA3,ORD-0983510-6B6E,CUST-266259-F6C0,INV-2026-983510,2024-07-19 02:01:08,2024-08-18 02:01:08,,575.04,46.0,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,07,GL-REV-983510,ADDR-983510,FALSE
INV-0983511-E7E7,ORD-0983511-5DC8,CUST-236691-6058,INV-2026-983511,2026-04-08 06:41:31,2026-05-08 06:41:31,2026-04-18 06:41:31,1145.28,91.62,0.00,0.00,1236.9,Paid,ACH,Net 30,USD,2026,04,GL-REV-983511,ADDR-983511,FALSE
INV-0983512-AE62,ORD-0983512-2197,CUST-155807-C96A,INV-2026-983512,2026-03-27 22:34:48,2026-04-26 22:34:48,2026-04-06 22:34:48,625.52,50.04,0.00,0.00,675.56,Paid,ACH,Net 30,USD,2026,03,GL-REV-983512,ADDR-983512,FALSE
INV-0983513-7280,ORD-0983513-1C68,CUST-227080-18A1,INV-2026-983513,2025-10-22 03:37:45,2025-11-21 03:37:45,,596.67,47.73,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,10,GL-REV-983513,ADDR-983513,FALSE
INV-0983514-9895,ORD-0983514-D310,CUST-150678-E74C,INV-2026-983514,2025-11-23 23:52:37,2025-12-23 23:52:37,2025-12-03 23:52:37,1247.32,99.79,0.00,0.00,1347.11,Paid,ACH,Net 30,USD,2025,11,GL-REV-983514,ADDR-983514,FALSE
INV-0983515-FF1C,ORD-0983515-EA68,CUST-499898-3E76,INV-2026-983515,2025-08-13 03:44:22,2025-09-12 03:44:22,,365.8,29.26,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,08,GL-REV-983515,ADDR-983515,FALSE
INV-0983516-7E24,ORD-0983516-B55F,CUST-182082-BCD1,INV-2026-983516,2024-07-02 13:40:58,2024-08-01 13:40:58,2024-07-12 13:40:58,1006.98,80.56,0.00,0.00,1087.54,Paid,ACH,Net 30,USD,2024,07,GL-REV-983516,ADDR-983516,FALSE
INV-0983517-4172,ORD-0983517-4A63,CUST-146447-A71C,INV-2026-983517,2026-05-11 07:05:13,2026-06-10 07:05:13,2026-05-21 07:05:13,977.67,78.21,0.00,0.00,1055.88,Paid,ACH,Net 30,USD,2026,05,GL-REV-983517,ADDR-983517,FALSE
INV-0983518-79C4,ORD-0983518-6718,CUST-120686-9327,INV-2026-983518,2024-08-18 17:49:21,2024-09-17 17:49:21,2024-08-28 17:49:21,199.05,15.92,0.00,0.00,214.97,Paid,ACH,Net 30,USD,2024,08,GL-REV-983518,ADDR-983518,FALSE
INV-0983519-9699,ORD-0983519-0729,CUST-489166-6E48,INV-2026-983519,2025-10-26 17:07:59,2025-11-25 17:07:59,2025-11-05 17:07:59,1036.12,82.89,0.00,0.00,1119.01,Paid,ACH,Net 30,USD,2025,10,GL-REV-983519,ADDR-983519,FALSE
INV-0983520-2DAB,ORD-0983520-32B8,CUST-008015-1F7A,INV-2026-983520,2025-06-27 19:30:59,2025-07-27 19:30:59,2025-07-07 19:30:59,393.02,31.44,0.00,0.00,424.46,Paid,ACH,Net 30,USD,2025,06,GL-REV-983520,ADDR-983520,FALSE
INV-0983521-6B42,ORD-0983521-B3EA,CUST-070837-9A0E,INV-2026-983521,2026-01-15 17:42:26,2026-02-14 17:42:26,,1295.0,103.6,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,01,GL-REV-983521,ADDR-983521,FALSE
INV-0983522-8809,ORD-0983522-D8B0,CUST-273349-C5BF,INV-2026-983522,2026-05-26 00:50:40,2026-06-25 00:50:40,2026-06-05 00:50:40,115.85,9.27,0.00,0.00,125.12,Paid,ACH,Net 30,USD,2026,05,GL-REV-983522,ADDR-983522,FALSE
INV-0983523-324E,ORD-0983523-2993,CUST-175107-1873,INV-2026-983523,2025-12-08 00:11:22,2026-01-07 00:11:22,,196.64,15.73,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,12,GL-REV-983523,ADDR-983523,FALSE
INV-0983524-A0D3,ORD-0983524-B342,CUST-128676-8DA9,INV-2026-983524,2025-12-31 00:51:04,2026-01-30 00:51:04,,800.6,64.05,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,12,GL-REV-983524,ADDR-983524,FALSE
INV-0983525-9853,ORD-0983525-E9F5,CUST-363267-58A9,INV-2026-983525,2026-02-06 20:01:08,2026-03-08 20:01:08,2026-02-16 20:01:08,1048.52,83.88,0.00,0.00,1132.4,Paid,ACH,Net 30,USD,2026,02,GL-REV-983525,ADDR-983525,FALSE
INV-0983526-B139,ORD-0983526-23B3,CUST-288753-B5CC,INV-2026-983526,2026-05-29 11:56:36,2026-06-28 11:56:36,,232.25,18.58,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,05,GL-REV-983526,ADDR-983526,FALSE
INV-0983527-BF78,ORD-0983527-9FFC,CUST-284791-EB86,INV-2026-983527,2026-03-15 08:57:57,2026-04-14 08:57:57,2026-03-25 08:57:57,1127.68,90.21,0.00,0.00,1217.89,Paid,ACH,Net 30,USD,2026,03,GL-REV-983527,ADDR-983527,FALSE
INV-0983528-05F0,ORD-0983528-9042,CUST-355544-F877,INV-2026-983528,2025-11-26 12:01:15,2025-12-26 12:01:15,,180.04,14.4,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,11,GL-REV-983528,ADDR-983528,FALSE
INV-0983529-CA38,ORD-0983529-A1A7,CUST-240704-93E3,INV-2026-983529,2025-01-27 23:39:41,2025-02-26 23:39:41,,825.81,66.06,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,01,GL-REV-983529,ADDR-983529,FALSE
INV-0983530-42B8,ORD-0983530-1417,CUST-173462-D5DB,INV-2026-983530,2025-10-07 23:06:47,2025-11-06 23:06:47,2025-10-17 23:06:47,408.16,32.65,0.00,0.00,440.81,Paid,ACH,Net 30,USD,2025,10,GL-REV-983530,ADDR-983530,FALSE
INV-0983531-8564,ORD-0983531-4C0C,CUST-149861-D160,INV-2026-983531,2025-04-01 23:04:05,2025-05-01 23:04:05,2025-04-11 23:04:05,174.44,13.96,0.00,0.00,188.4,Paid,ACH,Net 30,USD,2025,04,GL-REV-983531,ADDR-983531,FALSE
INV-0983532-2261,ORD-0983532-ABEB,CUST-344137-20AD,INV-2026-983532,2024-09-28 11:25:04,2024-10-28 11:25:04,,896.45,71.72,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983532,ADDR-983532,FALSE
INV-0983533-5FD5,ORD-0983533-1BFE,CUST-011138-7E19,INV-2026-983533,2025-07-25 19:01:56,2025-08-24 19:01:56,,371.56,29.72,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,07,GL-REV-983533,ADDR-983533,FALSE
INV-0983534-DAD9,ORD-0983534-2177,CUST-080836-ABCF,INV-2026-983534,2024-08-24 07:47:52,2024-09-23 07:47:52,,1409.7,112.78,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,08,GL-REV-983534,ADDR-983534,FALSE
INV-0983535-6442,ORD-0983535-0817,CUST-395778-B011,INV-2026-983535,2026-01-12 11:47:34,2026-02-11 11:47:34,2026-01-22 11:47:34,1439.35,115.15,0.00,0.00,1554.5,Paid,ACH,Net 30,USD,2026,01,GL-REV-983535,ADDR-983535,FALSE
INV-0983536-55F5,ORD-0983536-FDF6,CUST-289006-9AAA,INV-2026-983536,2025-01-16 20:13:05,2025-02-15 20:13:05,2025-01-26 20:13:05,1174.68,93.97,0.00,0.00,1268.65,Paid,ACH,Net 30,USD,2025,01,GL-REV-983536,ADDR-983536,FALSE
INV-0983537-A1B3,ORD-0983537-32A6,CUST-170212-7171,INV-2026-983537,2026-06-04 21:28:04,2026-07-04 21:28:04,2026-06-14 21:28:04,828.97,66.32,0.00,0.00,895.29,Paid,ACH,Net 30,USD,2026,06,GL-REV-983537,ADDR-983537,FALSE
INV-0983538-C27E,ORD-0983538-7649,CUST-202229-D691,INV-2026-983538,2025-07-02 20:24:23,2025-08-01 20:24:23,,725.42,58.03,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,07,GL-REV-983538,ADDR-983538,FALSE
INV-0983539-8BF3,ORD-0983539-7267,CUST-305012-AC27,INV-2026-983539,2024-11-24 14:24:22,2024-12-24 14:24:22,,721.16,57.69,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,11,GL-REV-983539,ADDR-983539,FALSE
INV-0983540-4137,ORD-0983540-1F77,CUST-311953-40AA,INV-2026-983540,2026-05-17 21:37:53,2026-06-16 21:37:53,2026-05-27 21:37:53,767.49,61.4,0.00,0.00,828.89,Paid,ACH,Net 30,USD,2026,05,GL-REV-983540,ADDR-983540,FALSE
INV-0983541-36AC,ORD-0983541-D928,CUST-047142-108A,INV-2026-983541,2024-08-25 20:20:50,2024-09-24 20:20:50,,1469.82,117.59,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,08,GL-REV-983541,ADDR-983541,FALSE
INV-0983542-3217,ORD-0983542-24BB,CUST-325562-3744,INV-2026-983542,2024-07-24 17:27:49,2024-08-23 17:27:49,,776.79,62.14,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,07,GL-REV-983542,ADDR-983542,FALSE
INV-0983543-C03F,ORD-0983543-7C0C,CUST-362653-3328,INV-2026-983543,2025-09-27 05:50:05,2025-10-27 05:50:05,,821.33,65.71,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,09,GL-REV-983543,ADDR-983543,FALSE
INV-0983544-04C6,ORD-0983544-BB1C,CUST-316320-14E8,INV-2026-983544,2025-02-02 23:14:43,2025-03-04 23:14:43,,836.01,66.88,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,02,GL-REV-983544,ADDR-983544,FALSE
INV-0983545-3F16,ORD-0983545-2F02,CUST-013430-D773,INV-2026-983545,2025-10-17 23:05:18,2025-11-16 23:05:18,,1445.17,115.61,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,10,GL-REV-983545,ADDR-983545,FALSE
INV-0983546-D647,ORD-0983546-A7F9,CUST-137906-8D91,INV-2026-983546,2024-12-24 13:44:23,2025-01-23 13:44:23,2025-01-03 13:44:23,1054.56,84.36,0.00,0.00,1138.92,Paid,ACH,Net 30,USD,2024,12,GL-REV-983546,ADDR-983546,FALSE
INV-0983547-3C9D,ORD-0983547-A8BB,CUST-016981-F731,INV-2026-983547,2025-03-18 21:44:34,2025-04-17 21:44:34,,799.28,63.94,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,03,GL-REV-983547,ADDR-983547,FALSE
INV-0983548-8C18,ORD-0983548-A4C6,CUST-472039-72E5,INV-2026-983548,2025-12-09 12:25:21,2026-01-08 12:25:21,,1251.71,100.14,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,12,GL-REV-983548,ADDR-983548,FALSE
INV-0983549-A139,ORD-0983549-32C7,CUST-114867-ECEF,INV-2026-983549,2025-10-26 01:16:32,2025-11-25 01:16:32,2025-11-05 01:16:32,205.8,16.46,0.00,0.00,222.26,Paid,ACH,Net 30,USD,2025,10,GL-REV-983549,ADDR-983549,FALSE
INV-0983550-578F,ORD-0983550-F25E,CUST-342430-B639,INV-2026-983550,2025-10-27 01:56:07,2025-11-26 01:56:07,,1015.41,81.23,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,10,GL-REV-983550,ADDR-983550,FALSE
INV-0983551-9BD9,ORD-0983551-BE85,CUST-466821-B970,INV-2026-983551,2026-04-04 01:27:56,2026-05-04 01:27:56,2026-04-14 01:27:56,1370.12,109.61,0.00,0.00,1479.73,Paid,ACH,Net 30,USD,2026,04,GL-REV-983551,ADDR-983551,FALSE
INV-0983552-0FAF,ORD-0983552-4E26,CUST-227278-917C,INV-2026-983552,2024-08-20 05:56:13,2024-09-19 05:56:13,,363.69,29.1,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,08,GL-REV-983552,ADDR-983552,FALSE
INV-0983553-C972,ORD-0983553-FE6F,CUST-124919-65D4,INV-2026-983553,2024-12-01 23:32:32,2024-12-31 23:32:32,,839.32,67.15,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,12,GL-REV-983553,ADDR-983553,FALSE
INV-0983554-51E7,ORD-0983554-D68B,CUST-042852-2801,INV-2026-983554,2025-07-10 17:13:43,2025-08-09 17:13:43,2025-07-20 17:13:43,1417.18,113.37,0.00,0.00,1530.55,Paid,ACH,Net 30,USD,2025,07,GL-REV-983554,ADDR-983554,FALSE
INV-0983555-FA6D,ORD-0983555-B9E9,CUST-059448-43A0,INV-2026-983555,2025-06-16 13:12:20,2025-07-16 13:12:20,,1410.22,112.82,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,06,GL-REV-983555,ADDR-983555,FALSE
INV-0983556-2F1C,ORD-0983556-A468,CUST-459002-0F57,INV-2026-983556,2025-01-12 08:59:04,2025-02-11 08:59:04,,978.7,78.3,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,01,GL-REV-983556,ADDR-983556,FALSE
INV-0983557-B309,ORD-0983557-EBA2,CUST-457651-0F0F,INV-2026-983557,2025-09-08 01:25:55,2025-10-08 01:25:55,,1281.68,102.53,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,09,GL-REV-983557,ADDR-983557,FALSE
INV-0983558-BBBE,ORD-0983558-3CBC,CUST-166245-585A,INV-2026-983558,2026-05-01 06:44:58,2026-05-31 06:44:58,,519.53,41.56,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,05,GL-REV-983558,ADDR-983558,FALSE
INV-0983559-72F2,ORD-0983559-9871,CUST-093195-6885,INV-2026-983559,2024-08-04 02:58:11,2024-09-03 02:58:11,2024-08-14 02:58:11,479.91,38.39,0.00,0.00,518.3,Paid,ACH,Net 30,USD,2024,08,GL-REV-983559,ADDR-983559,FALSE
INV-0983560-2A5E,ORD-0983560-4946,CUST-052663-0F88,INV-2026-983560,2025-05-27 12:13:40,2025-06-26 12:13:40,,591.29,47.3,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,05,GL-REV-983560,ADDR-983560,FALSE
INV-0983561-B034,ORD-0983561-65F1,CUST-007413-BA3C,INV-2026-983561,2025-05-16 01:09:18,2025-06-15 01:09:18,2025-05-26 01:09:18,952.05,76.16,0.00,0.00,1028.21,Paid,ACH,Net 30,USD,2025,05,GL-REV-983561,ADDR-983561,FALSE
INV-0983562-74A0,ORD-0983562-AB1E,CUST-241855-503D,INV-2026-983562,2024-12-25 15:41:59,2025-01-24 15:41:59,2025-01-04 15:41:59,1434.54,114.76,0.00,0.00,1549.3,Paid,ACH,Net 30,USD,2024,12,GL-REV-983562,ADDR-983562,FALSE
INV-0983563-C421,ORD-0983563-E904,CUST-389774-FBA2,INV-2026-983563,2024-10-05 23:19:12,2024-11-04 23:19:12,,916.61,73.33,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,10,GL-REV-983563,ADDR-983563,FALSE
INV-0983564-FF33,ORD-0983564-91A0,CUST-266694-CB83,INV-2026-983564,2024-09-29 12:33:39,2024-10-29 12:33:39,,708.84,56.71,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983564,ADDR-983564,FALSE
INV-0983565-605A,ORD-0983565-1DD4,CUST-180959-8466,INV-2026-983565,2024-10-07 18:20:18,2024-11-06 18:20:18,,1409.2,112.74,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,10,GL-REV-983565,ADDR-983565,FALSE
INV-0983566-059A,ORD-0983566-1AC9,CUST-468256-8906,INV-2026-983566,2024-09-17 14:53:54,2024-10-17 14:53:54,,316.88,25.35,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983566,ADDR-983566,FALSE
INV-0983567-3535,ORD-0983567-25E4,CUST-232934-DC39,INV-2026-983567,2025-01-15 09:53:12,2025-02-14 09:53:12,2025-01-25 09:53:12,763.79,61.1,0.00,0.00,824.89,Paid,ACH,Net 30,USD,2025,01,GL-REV-983567,ADDR-983567,FALSE
INV-0983568-F73A,ORD-0983568-51AC,CUST-278492-6FD9,INV-2026-983568,2025-12-22 15:57:26,2026-01-21 15:57:26,2026-01-01 15:57:26,725.03,58.0,0.00,0.00,783.03,Paid,ACH,Net 30,USD,2025,12,GL-REV-983568,ADDR-983568,FALSE
INV-0983569-2846,ORD-0983569-E633,CUST-048142-683F,INV-2026-983569,2024-12-09 07:53:07,2025-01-08 07:53:07,2024-12-19 07:53:07,284.92,22.79,0.00,0.00,307.71,Paid,ACH,Net 30,USD,2024,12,GL-REV-983569,ADDR-983569,FALSE
INV-0983570-0353,ORD-0983570-64E4,CUST-341464-CDD3,INV-2026-983570,2025-09-16 18:14:57,2025-10-16 18:14:57,,1155.24,92.42,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,09,GL-REV-983570,ADDR-983570,FALSE
INV-0983571-D380,ORD-0983571-8415,CUST-005622-B468,INV-2026-983571,2025-07-06 08:28:26,2025-08-05 08:28:26,,247.6,19.81,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,07,GL-REV-983571,ADDR-983571,FALSE
INV-0983572-E02A,ORD-0983572-41B7,CUST-096726-3549,INV-2026-983572,2026-02-16 07:08:36,2026-03-18 07:08:36,2026-02-26 07:08:36,1089.08,87.13,0.00,0.00,1176.21,Paid,ACH,Net 30,USD,2026,02,GL-REV-983572,ADDR-983572,FALSE
INV-0983573-FD8A,ORD-0983573-4BAF,CUST-458390-861B,INV-2026-983573,2025-07-16 20:40:15,2025-08-15 20:40:15,,113.79,9.1,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,07,GL-REV-983573,ADDR-983573,FALSE
INV-0983574-6377,ORD-0983574-4526,CUST-386468-E932,INV-2026-983574,2024-10-05 12:42:58,2024-11-04 12:42:58,2024-10-15 12:42:58,1421.15,113.69,0.00,0.00,1534.84,Paid,ACH,Net 30,USD,2024,10,GL-REV-983574,ADDR-983574,FALSE
INV-0983575-9463,ORD-0983575-66BD,CUST-390528-F678,INV-2026-983575,2026-02-15 20:55:56,2026-03-17 20:55:56,2026-02-25 20:55:56,946.49,75.72,0.00,0.00,1022.21,Paid,ACH,Net 30,USD,2026,02,GL-REV-983575,ADDR-983575,FALSE
INV-0983576-46D4,ORD-0983576-8DCE,CUST-394105-CEB0,INV-2026-983576,2025-07-02 12:18:24,2025-08-01 12:18:24,2025-07-12 12:18:24,974.97,78.0,0.00,0.00,1052.97,Paid,ACH,Net 30,USD,2025,07,GL-REV-983576,ADDR-983576,FALSE
INV-0983577-6D96,ORD-0983577-22AC,CUST-094751-FFE3,INV-2026-983577,2026-01-13 15:43:18,2026-02-12 15:43:18,,1260.92,100.87,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,01,GL-REV-983577,ADDR-983577,FALSE
INV-0983578-E0B3,ORD-0983578-5A81,CUST-407709-21BC,INV-2026-983578,2026-06-13 14:47:58,2026-07-13 14:47:58,,1486.61,118.93,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2026,06,GL-REV-983578,ADDR-983578,FALSE
INV-0983579-2DA4,ORD-0983579-DD5F,CUST-358321-7098,INV-2026-983579,2024-06-27 17:04:00,2024-07-27 17:04:00,2024-07-07 17:04:00,381.75,30.54,0.00,0.00,412.29,Paid,ACH,Net 30,USD,2024,06,GL-REV-983579,ADDR-983579,FALSE
INV-0983580-11DA,ORD-0983580-D88C,CUST-440833-A973,INV-2026-983580,2025-09-13 09:05:43,2025-10-13 09:05:43,,1374.1,109.93,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,09,GL-REV-983580,ADDR-983580,FALSE
INV-0983581-AD07,ORD-0983581-1AEF,CUST-238912-DF31,INV-2026-983581,2025-10-20 23:30:45,2025-11-19 23:30:45,,1355.17,108.41,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,10,GL-REV-983581,ADDR-983581,FALSE
INV-0983582-D3D8,ORD-0983582-9F74,CUST-295660-2B1F,INV-2026-983582,2024-11-28 01:56:00,2024-12-28 01:56:00,,219.82,17.59,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,11,GL-REV-983582,ADDR-983582,FALSE
INV-0983583-880E,ORD-0983583-8D65,CUST-144749-2FBD,INV-2026-983583,2026-04-16 20:05:01,2026-05-16 20:05:01,2026-04-26 20:05:01,1205.09,96.41,0.00,0.00,1301.5,Paid,ACH,Net 30,USD,2026,04,GL-REV-983583,ADDR-983583,FALSE
INV-0983584-02E3,ORD-0983584-8BCE,CUST-467692-E6FC,INV-2026-983584,2024-08-22 04:46:54,2024-09-21 04:46:54,2024-09-01 04:46:54,992.37,79.39,0.00,0.00,1071.76,Paid,ACH,Net 30,USD,2024,08,GL-REV-983584,ADDR-983584,FALSE
INV-0983585-00E0,ORD-0983585-C0F6,CUST-050821-0A65,INV-2026-983585,2025-03-07 17:14:06,2025-04-06 17:14:06,2025-03-17 17:14:06,239.18,19.13,0.00,0.00,258.31,Paid,ACH,Net 30,USD,2025,03,GL-REV-983585,ADDR-983585,FALSE
INV-0983586-DBB5,ORD-0983586-1B12,CUST-465333-514F,INV-2026-983586,2025-04-11 03:27:25,2025-05-11 03:27:25,,1037.6,83.01,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,04,GL-REV-983586,ADDR-983586,FALSE
